orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
112245606100115,3034933556,9144244018,1659419838,1,67533741,423318317,"Skin Suitability:good
Absorption:ok

selamat sampai, botol elok. Packaging secure. Thanks bagi scrunchie. Tau tau je kita ni free hair 🤭",5,good,ok,Skintella Moisturzer
108911762625770,3034933556,8694267771,1655377617,1,39809122,423318317,"Skin Suitability:jerawat Dan parut
Absorption:cpt

Terima kasih,  sampai cepat, sangat sesuai dengan skin saya, setanding dengan produk luar negara..",5,jerawat Dan parut,cpt,Soap + Cleanser
95748190278960,3034933556,7264179397,1642640617,1,63794027,423318317,"Skin Suitability:very suitable for my sensitive skin
Absorption:good

Thanks seller for the excellent service. Very good.",5,very suitable for my sensitive skin,good,Skintella Serum
141804900284316,3034933556,11910294358,1688580470,1,112339055,423318317,"Skin Suitability:good
Absorption:good

Barang sampai in good condition! Thanks for the free gift jugaaa",5,good,good,NEW Coalberry
92115936111540,3034933556,6789430231,1638519852,1,428411242,423318317,"TERBAIKKK SELLER !! BALUTAN PACKAGING SECURE DAN BANYAK LAPIS , TAKDAK KEMEK PUN KOTAK THANKYOUU !! ADA FREE GIFT SIKAT DAN GETAH ♥️♥️♥️♥️♥️",5,,,Hyalumelon Toner
114169914237618,3034933556,9287555413,1660637853,1,84836233,423318317,thankyouuuuuuuuu for the freegift! sumpah delivery laju seller pun laju je ship out!,5,,,NEW Coalberry
113833445294195,3034933556,9246595376,1660298281,1,100529108,423318317,"Skin Suitability:i have been using this product for a long time…it’s suit my skin very well
Absorption:perfectly 👍

Very fast delivery…thanks seller 💕",5,i have been using this product for a long time…it’s suit my skin very well,perfectly 👍,Soap + Serum
99466297563608,3034933556,7756212691,1647304328,1,27846010,423318317,"Skin Suitability:Ngamsoi
Absorption:elok je

Packaging memang tiptop cuma respond chat agak lambat. Check check Kaymem takde dalam parcel. So seller pos lain and bagi gift cleanser aluskin. Thankyou",5,Ngamsoi,elok je,BoingKit+KayMEM+Sock
101837443631977,3034933556,7883421648,1648438985,1,244644608,423318317,"Skin Suitability:Skin getting better after using the toner and the serums
Absorption:Very fast and light

This is my second bottle using the combo serums. So far my skin is getting better. Thank you for the free gift too :) 

Skin type: dry and very sensitive skin.",5,Skin getting better after using the toner and the serums,Very fast and light,Hyalumelon Toner
90343193135401,3034933556,6693956023,1637667182,1,66736888,423318317,"Saya banyak tengok influencers suggest moisturiser ni sebab ingredient dia best best, so i nak try la this moisturiser 👍🏻👍🏻👍🏻👍🏻 tekstur dia very gentle! 🥰 thank you seller 😍",5,,,Skintella Moisturzer
