orderid,itemid,userid,shopid,rating_star,satisfaction_label
1.51578E+14,23653306398,945453256,111741868,4,Satisfied
1.61696E+14,23653306398,768972293,111741868,5,Very Satisfied
1.61547E+14,23653306398,55462203,111741868,1,Very Dissatisfied
1.49999E+14,23653306398,271156560,111741868,4,Satisfied
1.53558E+14,23653306398,358442764,111741868,4,Satisfied
1.56001E+14,23653306398,945453256,111741868,5,Very Satisfied
1.61574E+14,23653306398,97688344,111741868,3,Neutral
1.58931E+14,23653306398,443031950,111741868,3,Neutral
1.57814E+14,23653306398,74598326,111741868,3,Neutral
1.49242E+14,23653306398,146879416,111741868,4,Satisfied
1.64537E+14,23653306398,997466898,111741868,2,Dissatisfied
1.58937E+14,23653306398,943160492,111741868,2,Dissatisfied
1.61682E+14,23653306398,1054144549,111741868,4,Satisfied
1.53505E+14,23653306398,662799066,111741868,4,Satisfied
1.64778E+14,23653306398,282854221,111741868,3,Neutral
1.56601E+14,23653306398,253500178,111741868,4,Satisfied
1.61433E+14,23653306398,179541125,111741868,5,Very Satisfied
1.65081E+14,23653306398,573666302,111741868,5,Very Satisfied
1.47956E+14,23653306398,113127837,111741868,5,Very Satisfied
1.61444E+14,23653306398,44684325,111741868,5,Very Satisfied
1.6243E+14,23653306398,1046393751,111741868,3,Neutral
1.65572E+14,23653306398,990984433,111741868,5,Very Satisfied
1.61435E+14,23653306398,773794309,111741868,5,Very Satisfied
1.61484E+14,23653306398,44684325,111741868,5,Very Satisfied
1.65237E+14,23653306398,539163412,111741868,1,Very Dissatisfied
1.5349E+14,23653306398,408151605,111741868,3,Neutral
1.64492E+14,23653306398,404455219,111741868,3,Neutral
1.47956E+14,23653306398,82467054,111741868,5,Very Satisfied
1.53495E+14,23653306398,110625885,111741868,3,Neutral
1.63698E+14,23653306398,126284550,111741868,4,Satisfied
1.65653E+14,23653306398,822947626,111741868,1,Very Dissatisfied
1.65742E+14,23653306398,291844869,111741868,3,Neutral
1.63147E+14,23653306398,930968402,111741868,5,Very Satisfied
1.65563E+14,23653306398,417174469,111741868,5,Very Satisfied
1.62789E+14,23653306398,95414805,111741868,5,Very Satisfied
1.61438E+14,23653306398,202479470,111741868,1,Very Dissatisfied
1.59607E+14,23653306398,887514103,111741868,3,Neutral
1.62719E+14,23653306398,891689500,111741868,5,Very Satisfied
1.61647E+14,23653306398,945453256,111741868,3,Neutral
1.5623E+14,23653306398,303457719,111741868,5,Very Satisfied
1.48309E+14,23653306398,603835157,111741868,4,Satisfied
1.64458E+14,23653306398,36883218,111741868,3,Neutral
1.56597E+14,23653306398,408151605,111741868,5,Very Satisfied
1.61631E+14,23653306398,35969002,111741868,4,Satisfied
1.53706E+14,23653306398,945453256,111741868,3,Neutral
1.61426E+14,23653306398,906192222,111741868,4,Satisfied
1.53935E+14,23653306398,408151605,111741868,5,Very Satisfied
1.58931E+14,23653306398,90503813,111741868,5,Very Satisfied
1.62034E+14,23653306398,58301649,111741868,5,Very Satisfied
1.52382E+14,23653306398,27215265,111741868,4,Satisfied
1.61498E+14,23653306398,29150928,111741868,3,Neutral
1.49351E+14,23653306398,110625885,111741868,2,Dissatisfied
1.63549E+14,23653306398,113790106,111741868,5,Very Satisfied
1.63479E+14,23653306398,113790106,111741868,5,Very Satisfied
1.65007E+14,23653306398,113790106,111741868,5,Very Satisfied
1.57263E+14,23653306398,322741449,111741868,5,Very Satisfied
1.62738E+14,23653306398,225509284,111741868,5,Very Satisfied
1.61667E+14,23653306398,111043795,111741868,3,Neutral
1.61461E+14,23653306398,268402583,111741868,4,Satisfied
1.53502E+14,23653306398,321388186,111741868,5,Very Satisfied
1.53456E+14,23653306398,331121161,111741868,1,Very Dissatisfied
1.57121E+14,23653306398,502551912,111741868,5,Very Satisfied
1.59633E+14,23653306398,805504394,111741868,5,Very Satisfied
1.63444E+14,23653306398,925969265,111741868,5,Very Satisfied
1.63273E+14,23653306398,749720581,111741868,5,Very Satisfied
1.65637E+14,23653306398,1178299944,111741868,5,Very Satisfied
1.53621E+14,23653306398,855804878,111741868,4,Satisfied
1.63442E+14,23653306398,298219495,111741868,4,Satisfied
1.47836E+14,23653306398,117972302,111741868,3,Neutral
1.56607E+14,23653306398,339644804,111741868,3,Neutral
1.65722E+14,23653306398,64175209,111741868,2,Dissatisfied
1.48482E+14,23653306398,408151605,111741868,5,Very Satisfied
1.49486E+14,23653306398,303874662,111741868,5,Very Satisfied
1.47278E+14,23653306398,253575873,111741868,5,Very Satisfied
