orderid,itemid,userid,shopid,comment,rating_star
137633767274522,12544232716,282412310,52308230,Fast shipping and delivery. Kudos to the sender. Hoping to see more interesting titles in your shop. Very affordable. 5 stars overall.,5
139768127249966,12544232716,901016225,52308230,"Thank you! the items arrived safely and are in good condition. Thank you to the seller who has been  kind enough to send all the books available and was patient enough while I try to choose what books I'm going to buy and also replies fast and asking if I wanted the books to be wrapped in plastic. 
Enjoyed shopping here and definitely recommend this shop. 
Shipping took a bit long but it's probably because of the stormy weather right now but all is still good. 
Also free bookmark!",5
105608888659160,12544232716,627416379,52308230,The product came in a good condition and ang bait din ni ateng seller.,5
98585574565132,12544232716,283862621,52308230,I love it! In good condition but hindi ko pa nababasa since may tinatapos pa akong book. Super nice din ni seller and naguupdate din siya 💛👍,5
106889351519862,12544232716,632046202,52308230,Ang bilis ng shipping tapos very accommodating pa si seller. Will order again po if natapos ko na basahin lahat hehehe btw Thankyou seller❤️,5
111565200195221,12544232716,440870590,52308230,Seller is very responsive! I finally found a seller for my vintage packaging needs. 📖 Nag request ako ng tanned books super bait nya nag send pa ng pictures next time mas madami na. More power po sa business nyo! Tysm. ❤️,5
140872256202576,12544232716,856278336,52308230,Suitability:Took almost 2 weeks since my place was far from the sellers station but the wait was worth it! Got the Books complete with a free bookmark I appreciate 😊😊😊,5
111160720184131,12544232716,534772205,52308230,THANK YOU SO MUCH PO SELLER SA PAGSEND NG VIDEOS AND PICTURES BEFORE SHIPPING. THANK YOU DIN PO SA BOOKS.  I LOVE ITTTT. I WILL ORDER AGAIN. HIGHLY RECOMMENDED TO BUY BOOKS IN THIS SHOP,5
110262214148599,12544232716,392011820,52308230,"Ang ganda ng books! Diko inexpect ang cute na bookmark. Salamat seller!💜

Bibili ako ulit pag may ipon😁",5
132313236222507,12544232716,273806070,52308230,They arrived on good condition with secured packaging and also with a free bookmark . Seller was also so patient and kind ☺️,5
110773534110292,12544232716,273896269,52308230,I really recommend buying pre-loved books here. Sobrang ganda ng quality ng mga books and may plastic cover na rin siya. I also love the freebie na bookmark. Very accommodating si seller. Medyo matagal dumating but it's fine.,5
148382953299112,12544232716,214471889,52308230,I highly recommend this shop!Napakamura tapos ang bait pa ni seller and ni-cover pa ang books! May free din na cute bookmark. Definitely gonna order again if may ipon na.,5
112014960102026,12544232716,575880843,52308230,"Suitability:.

Ang ganda ng quality ng books🥰🥰 binalutan pa ni seller ang bait n'ya din kausap 🤗",5
108528859205253,12544232716,276703878,52308230,Dumating siya nung Saturday. 6 days siya bago na ideliver kasi nga galing pang Davao. Satified ako sa packaging. And ang gaan lang din kausap ni seller hehe. Wala namang damage sa mga books.,5
128683226202832,12544232716,588328148,52308230,I love this novel at nka plastic cover na xa ❤️❤️ the seller is very nice and approachable ❤️❤️ love this..will order again soon...salamat po ❤️❤️,5
96780115261543,12544232716,595572835,52308230,"super ganda po and some books may cover na and may free bookmark pa, ambait din ni seller ❤️❤️",5
151075172263493,12544232716,855563015,52308230,So nice books!!! seller is so approachable and always updating!!,5
105612553581875,12544232716,621708591,52308230,Just delivered today! Thank you for these wonderful books seller 🥰,5
114353948276160,12544232716,70609422,52308230,"Complete orders. Seller is kind enough to send photos and videos of the products, to let you choose which book you should pick. Thank you so much!",5
96267468383296,12544232716,53087433,52308230,It’s my 2nd purchased from this store .My niece love it so much & happy to receive the books . Also Seller  is very responsive to my queries .,5
129112446212784,12544232716,135920764,52308230,"books are in good quality for preloved, got a free book & bookmark. overall good rate",5
109363055576843,12544232716,449695484,52308230,the books were so good and ang bait pa ni seller. thanks po sa freebies 😊❤️,5
106135588645654,12544232716,541825633,52308230,Good and nice books. Thank you for newly-covered books seeler. I highly appreciate even in small things 😉 thank you,5
126153524235207,12544232716,660893597,52308230,"more than what I expected!
thank you so much to the very accommodating seller, even offered to cover the books!!",5
111649375140483,12544232716,508563591,52308230,"Thnk u seller! Ang gaganda lahat naka cover pa sila at may pa freebie pa, nag send din agad si seller bago iship.order na kayo mga vebs di kayo magsisisi ang gaganda lahat❤️",5
110438085127385,12544232716,346174171,52308230,Grave ang bait ni seller tas ni lagyan pa niya ng cover yunh books😭♥️♥️♥️ tas Pina pili niya ako!!!! Although pre-loved siya Hindi talaga ako ng expect ng sobra pero ng send ng picture ang seller tas vid grave parang bago lang!,5
117181704230965,12544232716,450428038,52308230,"Suitability:noice

1.Do
2.You
3.Know
4.Who's
5.The 
6.Most
7.Beautiful
8.Girl
9.In the
10.World
Look at number 2
Veri veri noice <333",5
126430451290325,12544232716,31076791,52308230,Mabait si seller. . very accomodating.. . May plastic cover pa mga books ❤️,5
115174246228031,12544232716,450489088,52308230,"thank you so much po ang ganda ng mga books at may plastic cover na rin, thank you rin po sa bookmark so much appreciated..",5
114194561245785,12544232716,805063178,52308230,Thankyousonmuchhh❤️❤️❤️ nag effort pa talaga si seller na lagyan ng plastic cover💜 can't wait to read this tonight,5
92935696026357,12544232716,88793441,52308230,Super ganda ng mga books halos bago and pafree bookmark. Thank you po!! ❤️❤️❤️,5
125836151271673,12544232716,894555902,52308230,"books arrived in good condition, and covered in plastic, with free book mark. will order again. thank youu ❤️",5
111078163157769,12544232716,369492485,52308230,Ang ganda at may cover pa mabilis din dumating<3,5
141660359241802,12544232716,332724692,52308230,Suitability:subrang goods po talaga ng mga books💕,3
161671376255524,12544232716,41569011,52308230,"Suitability:10/10

Sobrang ganda lahat, napaka accommodated ni seller. Maraming salamat po and Godbless. Late na nakapagrate dahil nabusy na kakabasa 🤗🤗🤗🤗",5
110738456199535,12544232716,291085400,52308230,The kindest bookshop I’ve ever ordered from :) Sa uulitin,5
126873869269570,12544232716,810371563,52308230,"Suitability:Good Quality

will definitly order again thank you seller",5
111575220191917,12544232716,798925245,52308230,"Kadadating lang kanina, sobrang Ganda ty seller labyuu mwa",5
102475108325211,12544232716,633756689,52308230,"THANK YOU SO MUCH!!🤗🤗
THANK YOU FOR THE CUTE BOOKMARK🤗",5
91988701554543,12544232716,163459801,52308230,Thank you sa magagandang books seller. 😊,5
108323368513406,12544232716,686393842,52308230,Ang gaganda ng books may free bookmark din.,5
160009076223176,12544232716,1083682174,52308230,Suitability:i'm happy i ordered books here ♡♡,5
117673138201535,12544232716,135541849,52308230,Suitability:I don't like the books,3
112708851195015,12544232716,382093682,52308230,"Suitability:10/10

ang cute thank you seller🥰♥️",5
148186100249037,12544232716,586347575,52308230,,4
160144062217242,12544232716,1112067001,52308230,,5
