orderid,itemid,userid,shopid,ctime,rating_star,satisfaction_label
136916595203163,5359370169,184048470,140163451,2023-05-08 12:09:44,5,Very Satisfied
150566992237425,5359370169,307946478,140163451,2023-10-18 23:42:05,5,Very Satisfied
143157400211860,5359370169,77934945,140163451,2023-07-22 08:39:22,5,Very Satisfied
72591141486413,5359370169,48767424,140163451,2021-04-25 00:22:16,5,Very Satisfied
152237952304977,5359370169,16403657,140163451,2023-11-06 07:58:42,5,Very Satisfied
156010262269524,5359370169,175801580,140163451,2023-12-16 20:06:16,5,Very Satisfied
153469810290414,5359370169,33620249,140163451,2023-11-22 20:53:47,5,Very Satisfied
160246231227231,5359370169,162503569,140163451,2024-02-11 11:21:09,5,Very Satisfied
131233169205783,5359370169,185469503,140163451,2023-03-04 15:28:37,5,Very Satisfied
156780117201160,5359370169,11567707,140163451,2023-12-24 09:20:28,5,Very Satisfied
162438371241545,5359370169,147823535,140163451,2024-03-05 05:40:05,5,Very Satisfied
144347132226506,5359370169,67836556,140163451,2023-08-07 08:42:56,5,Very Satisfied
153935169278598,5359370169,66063571,140163451,2023-11-26 01:29:54,5,Very Satisfied
145788032220999,5359370169,27544538,140163451,2023-08-18 20:31:06,5,Very Satisfied
150567213244077,5359370169,280956973,140163451,2023-10-15 01:03:49,5,Very Satisfied
162999866289925,5359370169,226910981,140163451,2024-03-03 17:38:01,5,Very Satisfied
155656915240485,5359370169,97422736,140163451,2023-12-20 09:00:43,5,Very Satisfied
144403825215059,5359370169,127348984,140163451,2023-08-07 22:27:27,5,Very Satisfied
153377705272118,5359370169,77458260,140163451,2023-11-24 15:01:04,5,Very Satisfied
149702838225512,5359370169,117531650,140163451,2023-10-06 16:42:27,5,Very Satisfied
143050468251945,5359370169,709716454,140163451,2023-08-14 00:50:34,5,Very Satisfied
134075714250514,5359370169,911138777,140163451,2023-04-06 00:32:18,5,Very Satisfied
143050855287593,5359370169,42627828,140163451,2023-08-26 18:50:18,5,Very Satisfied
153378461298288,5359370169,217665136,140163451,2023-11-14 17:56:02,5,Very Satisfied
165047504297889,5359370169,954740769,140163451,2024-03-28 13:26:04,5,Very Satisfied
152903840275408,5359370169,74841718,140163451,2023-12-10 18:10:46,5,Very Satisfied
150102669243571,5359370169,1030993645,140163451,2023-10-07 14:42:21,5,Very Satisfied
139684322246132,5359370169,145355583,140163451,2023-06-09 18:32:14,4,Satisfied
143303644272383,5359370169,80186018,140163451,2023-07-29 21:01:34,5,Very Satisfied
146135777250868,5359370169,77474389,140163451,2023-08-25 11:12:46,5,Very Satisfied
145124085290147,5359370169,659236086,140163451,2023-08-16 10:07:09,5,Very Satisfied
131631378226491,5359370169,175604887,140163451,2023-03-10 19:42:51,5,Very Satisfied
160502627247202,5359370169,124796875,140163451,2024-02-08 11:42:04,5,Very Satisfied
147184565242351,5359370169,141897862,140163451,2023-09-04 02:22:46,5,Very Satisfied
155563188271510,5359370169,342583532,140163451,2023-12-18 10:40:52,3,Neutral
148642762260714,5359370169,280558865,140163451,2023-09-20 21:44:52,5,Very Satisfied
134708596209547,5359370169,28510106,140163451,2023-04-22 15:32:06,5,Very Satisfied
134963161279148,5359370169,76505366,140163451,2023-04-23 15:21:27,5,Very Satisfied
156243796287034,5359370169,1011231287,140163451,2023-12-17 18:42:26,5,Very Satisfied
137433228232260,5359370169,642971556,140163451,2023-05-14 19:54:19,5,Very Satisfied
157206457285068,5359370169,30838557,140163451,2023-12-30 10:43:33,4,Satisfied
143049641253557,5359370169,180883660,140163451,2023-07-18 16:13:09,5,Very Satisfied
156011834287882,5359370169,97076904,140163451,2023-12-15 00:13:18,4,Satisfied
145868978256692,5359370169,521062618,140163451,2023-08-19 22:11:47,1,Very Dissatisfied
